Sample,E_Pa,rho_kg_m3,omega_rad_s,sigma_uts_Pa,max_mises_Pa
88,7.295733e+10,2899.6511,1982.616348,4.476759e+08,5.812837e+08
89,7.508054e+10,2850.3058,1960.324347,3.702130e+08,5.586147e+08
90,6.964981e+10,2910.7693,2065.349969,3.865195e+08,6.332280e+08
91,6.791920e+10,2886.6245,1997.219083,4.819120e+08,5.872279e+08
92,7.402431e+10,2946.4746,2098.934136,3.845719e+08,6.620113e+08
93,7.045307e+10,2939.1496,2178.091369,4.324795e+08,7.111134e+08
94,7.149457e+10,2887.8396,2182.656785,4.353574e+08,7.016314e+08
95,7.640310e+10,2949.2515,2115.383752,4.265539e+08,6.730621e+08
96,6.788539e+10,2963.8990,2027.784200,4.393343e+08,6.215441e+08
97,7.199388e+10,2934.4635,2173.106073,3.925980e+08,7.067333e+08
98,6.823386e+10,2936.6316,2184.959200,4.307620e+08,7.149919e+08
99,7.033983e+10,2878.6441,2025.771454,4.124047e+08,6.024678e+08
100,7.305023e+10,2901.0771,2135.293386,4.407906e+08,6.745893e+08
